character,pinyin_hanziDB,pinyin_qxk,meaning,pinyin_hanziDB_qxk,pinyin_name,pinyin_givenname,pinyin_familyname,pinyin,tone,tone_name,tone_familyname,tone_givenname,pinyin_notone,eng,eng_name,eng_familyname,eng_givenname
咨,zī,zī,zī	商议；询问。～商|～询|～议|～文。,zī,zī,zī,zī,zī,1,1,1,1,zi,zi,zi,zi,zi
姿,zī,zī,zī	1:容貌。～容|～色|丰～。2:身体呈现的样子；体态。～势|～态|舞～|雄～|身～|英～飒爽。,zī,zī,zī,zī,zī,1,1,1,1,zi,zi,zi,zi,zi
亲,qīn,qīn#qìng,1qīn	[親]	1:有血缘关系的。～娘|～闺女|～姐妹|～叔叔。2:父母，也单指父亲或母亲。双～|父～|母～。3:泛指有血缘或婚姻关系的人。～戚|近～|非～非故|举目无～。4:婚姻。～事|提～|成～。5:指新娘。娶～|迎～。6:感情深厚；关系密切（跟“疏”相对）。～密|～近|～热。7:用嘴唇接触，表示喜爱。～嘴|～吻。8:亲自。～手|～口|～身|～笔|～临。#####2qìng	[親]	【亲家（jiɑ）】 两家儿女相婚配而结成的亲戚关系。儿女～|～公|～母。,qīn#qìng,qīn#qìng,qīn#qìng,qīn#qìng,qīn#qìng,1#4,1#4,1#4,1#4,qin#qing,qin#qing,qin#qing,qin#qing,qin#qing
音,yīn,yīn,yīn	1:声音；声响。～乐|～响|噪～|话～|录～。2:消息。～信|佳～|福～。3:指音节；读音。单～词|多～字|一字一～。,yīn,yīn,yīn,yīn,yīn,1,1,1,1,yin,yin,yin,yin,yin
帝,dì,dì,dì 	1:宗教或神话中称创造和主宰宇宙万物的天神。上～|天～|玉皇大～。2:君主；皇帝。～王|称～|三皇五～。3:指帝国主义。反～。,dì,dì,dì,dì,dì,4,4,4,4,di,di,di,di,di
施,shī,shī,shī	1:实行；推行。～行｜～展｜～工｜～政｜实～｜软硬兼～。2:给予。～礼｜～恩｜～压｜～加影响｜因材～教。3:加上；加给。～粉（搽粉）｜～肥｜～用｜己所不欲，勿～于人。4:施舍，把自己的财物送给穷人、僧尼或寺庙。～主｜～斋｜布～｜乐善好～。5:（Shī）姓。,shī,shī,shī,shī,shī,1,1,1,1,shi,shi,shi,shi,shi
闺,guī,guī,guī	[閨]	内室，特指女子的居室。～门|～阁|～秀|深～。,guī,guī,guī,guī,guī,1,1,1,1,gui,gui,gui,gui,gui
闻,wén,wén,wén	[聞]	1:听见。～讯|～名|风～|耳～目睹|喜～乐见。2:听见的事；消息。新～|要～|见～|传～|奇～|趣～。3:有名望。～达|～人|默默无～。4:用鼻子嗅。难～|～到一股味儿。5:（Wén）姓。,wén,wén,wén,wén,wén,2,2,2,2,wen,wen,wen,wen,wen
闽,mǐn,mǐn,mǐn	[閩]	1:闽江，水名。在福建北部，经过福州流入东海。2:福建的别称。～剧|～菜|～语。3:朝代名（公元909-945年）。十国之一，王审知所建，建都长乐（今福建福州）。4:姓。,mǐn,mǐn,mǐn,mǐn,mǐn,3,3,3,3,min,min,min,min,min
阀,fá,fá,fá	[閥]	1:有权势能起支配作用的家族、人物或集团。门～|财～|军～|学～。2:阀门，机器或管道上起调节、控制作用的装置。气～|水～|油～|安全～。,fá,fá,fá,fá,fá,2,2,2,2,fa,fa,fa,fa,fa
阁,gé,gé,gé	[閣]	1:供游玩、休息或远望的建筑物。四方形、六角形或八角形，多为两层，周围开窗。滕王～（在江西南昌）|佛香～（在北京颐和园）|亭台楼～。2:旧时女子的卧室。闺～|出～。3:指内阁，某些国家的最高行政机关。～员|～僚|入～|倒～|组～。4:存放东西的架子。束之高～。,gé,gé,gé,gé,gé,2,2,2,2,ge,ge,ge,ge,ge
差,chà,chà#chā#chāi#cī,1chā	1:不相同；不同之处。～别｜～异｜～价｜反～｜时～｜～之毫厘，谬以千里。2:错误。～错｜偏～｜阴～阳错｜一念之～。3:副词。 稍微；大致。～强人意（大体上还能让人满意）。4:减法运算中，一个数减去另一个数所得的数，如8-2=6中，6是差。也叫“差数”。#####2chà	1:不相同；不符合。～不离｜～不多｜～得远。2:错；不对。走～了｜这话说得不～。3:缺少；不够数。～五分钟八点｜就～一个人了。4:不好；不够标准。～劲｜质量～｜成绩不～。#####3chāi	1:派遣（去做事）。～遣｜～使｜鬼使神～｜～人去接站。2:受派遣去做的事；公务。～事｜当～｜交～｜美～｜抓～｜出公～。3:旧时指受派遣做事的人。～役｜听～｜钦～｜信～。#####4cī	【参（cēn）差】 见“参”。,chà#chā#chāi#cī,chà#chā#chāi#cī,chà#chā#chāi#cī,chà#chā#chāi#cī,chà#chā#chāi#cī,4#1#1#1,4#1#1#1,4#1#1#1,4#1#1#1,cha#cha#chai#ci,cha#chai#ci,cha#chai#ci,cha#chai#ci,cha#chai#ci
养,yǎng,yǎng,yǎng	[養]	1:供给生活所需的钱物。～育|～家|抚～|收～|赡～|奉～。2:饲养（动物）；培植（花草）。～殖|～鸡|～鱼|驯～|～花儿。3:生育。她～了个胖小子。4:非亲生而具有抚养关系的。～父|～母|～子|～女。5:培养。娇生惯～|～成好习惯。6:品德、学识等方面的良好积累。教～|素～|修～|涵～|学～。7:使身心得到休息和滋补。～生|～病|休～|保～|疗～|～精蓄锐。8:保护；维修。～路|～护。,yǎng,yǎng,yǎng,yǎng,yǎng,3,3,3,3,yang,yang,yang,yang,yang
美,měi,měi,měi	1:漂亮；好看（跟“丑”相对）。～丽|～貌|优～|秀～。2:使漂亮。～容|～发|～化。3:好；令人满意的。～好|～德|～誉|～满|～味|物～价廉。4:美好的事物；好事。～不胜收|成人之～。5:称赞。～称|赞～。6:得意。听了大家的表扬，他心里可～了。7:（Měi）美洲的简称。南～|欧～。,měi,měi,měi,měi,měi,3,3,3,3,mei,mei,mei,mei,mei
姜,jiāng,jiāng,1jiāng	姓。#####2jiāng	[薑]	多年生草本植物。根茎黄色，有辣味，是常用的调料，也可入药。,jiāng,jiāng,jiāng,jiāng,jiāng,1,1,1,1,jiang,jiang,jiang,jiang,jiang
叛,pàn,pàn,pàn	背离（自己的一方）。背～|～乱|～变|～国|～徒|众～亲离。,pàn,pàn,pàn,pàn,pàn,4,4,4,4,pan,pan,pan,pan,pan
送,sòng,sòng,sòng	1:陪着离去的人一起走（跟“迎”相对）。～行｜～别｜～客｜欢～｜目～｜护～。2:把东西运去交给对方。～达｜～交｜～审｜运～｜输～。3:赠给。～礼｜奉～｜赠～｜馈～。4:无意义地付出；丧失。～命｜断～｜葬～。,sòng,sòng,sòng,sòng,sòng,4,4,4,4,song,song,song,song,song
类,lèi,lèi,lèi	[類]	1:种；许多相似或相同的事物的综合。～型|种～|人～|分～|分门别～。2:相似；好像。～似|～人猿|画虎不成反～犬。3:量词。 用于相似或相同的事物。三～人员|五～图书。,lèi,lèi,lèi,lèi,lèi,4,4,4,4,lei,lei,lei,lei,lei
迷,mí,mí,mí	1:失去判断能力；分辨不清。～惑|～路|～失|～茫|昏～。2:沉醉于某种事物。～恋|～信|痴～|沉～|入～。3:沉醉于某种事物的人。影～|歌～|球～|戏～|棋～。4:使分辨不清；使沉醉入迷。～人|～魂阵|鬼～心窍。,mí,mí,mí,mí,mí,2,2,2,2,mi,mi,mi,mi,mi
籽,zǐ,zǐ,zǐ	某些植物的种子。菜～儿|棉～儿|花～儿。,zǐ,zǐ,zǐ,zǐ,zǐ,3,3,3,3,zi,zi,zi,zi,zi
娄,lóu,lóu,lóu	[婁]	1:（某些瓜类）过熟而变质。～瓜|西瓜～了。2:星宿名。二十八宿之一，属西方白虎。3:（Lóu）姓。,lóu,lóu,lóu,lóu,lóu,2,2,2,2,lou,lou,lou,lou,lou
前,qián,qián,qián	1:空间上在正面的（跟“后”相对）。～方|面～|门～|～怕狼后怕虎。2:时间上已过去的；较早的。～天|先～|从～|提～|空～|～所未有。3:次序靠头里的。～排|～言|～三名|～呼后拥|名列～茅。4:向前行进。～进|～往|勇往直～|停滞不～。5:以前的（区别于现在的）。～夫|～校长。6:未来。～途|～程|～景|要向～看。,qián,qián,qián,qián,qián,2,2,2,2,qian,qian,qian,qian,qian
首,shǒu,shǒu,shǒu	1:头；脑袋。～饰｜～肯｜回～｜翘～｜叩～｜昂～挺胸。2:带头的人；领导人。～领｜～脑｜～长｜元～｜匪～｜群龙无～。3:最先。～先｜～创｜～倡｜～推｜～选。4:第一的；最高的。～届｜～次｜～席｜～都｜～要｜～相。5:出面认罪或告发。自～｜出～。6:量词。 用于诗、词、歌、赋等。一～诗｜几～歌。,shǒu,shǒu,shǒu,shǒu,shǒu,3,3,3,3,shou,shou,shou,shou,shou
逆,nì,nì,nì	1:方向相反（跟“顺”相对）。～差|～转|～行|～风|～流|倒行～施。2:抵触；不顺从。～反|～耳|～子|忤～。3:不顺利。～境|～来顺受。4:背叛；叛乱。叛～|～臣|～贼|大～不道。5:预先；事先。～料|～知。,nì,nì,nì,nì,nì,4,4,4,4,ni,ni,ni,ni,ni
兹,zī,zī#cí,1cí	龟（qiū）兹。见“龟”。#####2zī	现在；此时。～不赘述|～订于本月二十日举行全体职工大会。,zī#cí,zī#cí,zī#cí,zī#cí,zī#cí,1#2,1#2,1#2,1#2,zi#ci,zi#ci,zi#ci,zi#ci,zi#ci
总,zǒng,zǒng,zǒng	[總]	1:汇集；综合。汇～|～结|～和|～计|～而言之。2:全部的；全面的。～账|～评|～体|～额|～量|～复习。3:概括全部的；统领全面的。～纲|～店|～部|～裁|～管|～经理。4.1:副词。 表示情况很少例外，基本不变。～想跟他聊天|面对困难，他～那么沉着、冷静。4.2:副词。 表示不管怎么样，最终都会如此。黑暗～会过去|问题～要解决的。,zǒng,zǒng,zǒng,zǒng,zǒng,3,3,3,3,zong,zong,zong,zong,zong
炼,liàn,liàn,liàn	[煉]	1:用加热等方法使物质的纯度提高或变得坚韧。～油|～钢|锻～|提～|锤～。2:烧。真金不怕火～。3:推敲，使词句简洁优美。～字|～句。,liàn,liàn,liàn,liàn,liàn,4,4,4,4,lian,lian,lian,lian,lian
炸,zhà,zhà#zhá,1zhá	1:把食物放在沸油里使熟。～麻花|～丸子|把鱼～一下。2:焯（chāo），把蔬菜放在沸水里略煮一下。凉拌菠菜需要～一下。#####2zhà	1:（物体）突然破裂并常伴有响声。～弹|～药|～裂|～雷|爆～|暖水瓶～了。2:用炸药、炸弹爆破。～毁|轰～|～碉堡。3:被激怒而发作。气～了|一听这话大伙儿就～了。4:因受到惊扰而四处逃散。～营|～窝|～市|马～群了。,zhà#zhá,zhà#zhá,zhà#zhá,zhà#zhá,zhà#zhá,4#2,4#2,4#2,4#2,zha#zha,zha,zha,zha,zha
烁,shuò,shuò,shuò	[爍]	光亮闪耀的样子。闪～｜光～如电｜群星～～。,shuò,shuò,shuò,shuò,shuò,4,4,4,4,shuo,shuo,shuo,shuo,shuo
炮,pào,páo#bāo#pào,1bāo	1:把肉片等原料放在锅中，用旺火急炒。～羊肉。2:烘；烤。～干湿衣服。#####2páo	中药制法。把生药放在热铁锅里急炒，使焦黄爆裂。～制|～姜|～炼。#####3pào	1:重型射击武器。口径在2厘米以上，能发射炮弹，有迫（pǎi）击炮、榴弹炮、高射炮等。2:爆竹。～仗（zhɑng）|鞭～|花～。,páo#bāo#pào,páo#bāo#pào,páo#bāo#pào,páo#bāo#pào,páo#bāo#pào,2#1#4,2#1#4,2#1#4,2#1#4,pao#bao#pao,pao#bao,pao#bao,pao#bao,pao#bao
炫,xuàn,xuàn,xuàn	1:（强光）照耀。～目。2:显示；夸耀。～示|～耀。,xuàn,xuàn,xuàn,xuàn,xuàn,4,4,4,4,xuan,xuan,xuan,xuan,xuan
烂,làn,làn,làn	[爛]	1:稀软；变得松软。～泥|～糊|～饭|稀～|肉炖得很～。2:腐烂。霉～|溃～|臭鱼～虾。3:破碎。～纸|破～|废铜～铁|海枯石～。4:头绪乱。～账|～摊子。5:表示程度极深。喝得～醉|背得～熟。,làn,làn,làn,làn,làn,4,4,4,4,lan,lan,lan,lan,lan
剃,tì,tì,tì	用特制的刀具刮去（毛发）。～头|～刀|～度|～光头。,tì,tì,tì,tì,tì,4,4,4,4,ti,ti,ti,ti,ti
洼,wā,wā,wā	[窪]	1:低陷的地方。山～|水～儿|坑坑～～。2:低陷；凹陷。～地|低～|～陷。,wā,wā,wā,wā,wā,1,1,1,1,wa,wa,wa,wa,wa
洁,jié,jié,jié	[潔]	1:干净。～净|～白|～具|清～|保～。2:清白；没有污点。纯～|廉～|圣～|贞～|～身自好。3:（语言）简约。简～。,jié,jié,jié,jié,jié,2,2,2,2,jie,jie,jie,jie,jie
洪,hóng,hóng,hóng	1:洪水。～峰|～灾|山～|防～|泄～|蓄～。2:大。～水|～流|～亮|～钟|～福。3:（Hóng）姓。,hóng,hóng,hóng,hóng,hóng,2,2,2,2,hong,hong,hong,hong,hong
洒,sǎ,sǎ#xǐ,sǎ	[灑]	分散落下（多指液体）。～泪｜～落｜～扫｜泼～｜喷～｜～水。,sǎ#xǐ,sǎ#xǐ,sǎ#xǐ,sǎ#xǐ,sǎ#xǐ,3#3,3#3,3#3,3#3,sa#xi,sa#xi,sa#xi,sa#xi,sa#xi
柒,qī,qī,qī	数目字“七”的大写。,qī,qī,qī,qī,qī,1,1,1,1,qi,qi,qi,qi,qi
浇,jiāo,jiāo,jiāo	[澆]	1:液体洒落；使液体洒落。大雨～湿了衣服|～花儿|火上～油|～汁儿鱼。2:灌溉。灌|～地|～园子|水～地。3:把熔化的金属或混凝土等注入模子。～注|～铸|～筑。,jiāo,jiāo,jiāo,jiāo,jiāo,1,1,1,1,jiao,jiao,jiao,jiao,jiao
浊,zhuó,zhuó,zhuó	[濁]	1:水、空气不清；不干净（跟“清”相对）。～流|～浪|污～|浑～|污泥～水|激～扬清。2:（声音）低沉粗重。～音|～声～气。3:混乱。～世。,zhuó,zhuó,zhuó,zhuó,zhuó,2,2,2,2,zhuo,zhuo,zhuo,zhuo,zhuo
洞,dòng,dòng,1dòng	1:窟窿；孔穴。～穴|山～|窑～|防空～。2:深入；透彻。～察|悉|～若观火。3:说数字时用来代表“0”。#####2tóng	用于地名。洪～（在山西）。,dòng,dòng,dòng,dòng,dòng,4,4,4,4,dong,dong,dong,dong,dong
测,cè,cè,cè	[測]	1:度量。～量｜～试｜～验｜检～｜观～｜深不可～。2:推想。预～｜推～｜猜～｜居心叵（pǒ）～｜天有不～风云。,cè,cè,cè,cè,cè,4,4,4,4,ce,ce,ce,ce,ce
洗,xǐ,xǐ#xiǎn,1xǐ	1:用水等去掉物体上的污垢。～手|～涤|梳～|干～|～零件|缝补浆～。2:彻底清除。～雪|～耻|～冤|清～|把磁带上的录音～了。3:像水洗一样杀光、抢光。～城|血～|～劫一空。4:把拍摄的照片显影、定影。～印|冲～|～相片。5:掺和整理（扑克、麻将等）。～牌。#####2xiǎn	姓。,xǐ#xiǎn,xǐ#xiǎn,xǐ#xiǎn,xiǎn,xǐ#xiǎn,3#3,3#3,3,3#3,xi#xian,xi#xian,xi#xian,xian,xi#xian
活,huó,huó,huó	1:有生命；生存（跟“死”相对）。～物|～人|生～|存～|成～|～到老，学到老。2:使生存；救活。养家～口|～命之恩。3:在活的状态下。～捉|～埋|～～折磨死。4:能变动的；不固定的。～动|～扣|～水|～页|～期存款。5:生动；不死板。～泼|～跃|灵～|生龙～虎|心眼儿～。6:简直；真正。～该|～像|～见鬼。7:工作；产品。干～儿|针线～儿|庄稼～儿|出～儿。,huó,huó,huó,huó,huó,2,2,2,2,huo,huo,huo,huo,huo
派,pài,pài,pài	1:立场、见解或风格相同的体系、组织或一些人。～别|～系|流～|学～|党～。2:作风；风度。～头|气～|正～。3:分配；差遣。～购|摊～|～遣|指～|委～。4:量词。 用于景色、语言等。一～新气象|一～大好春光|一～胡言。,pài,pài,pài,pài,pài,4,4,4,4,pai,pai,pai,pai,pai
洽,qià,qià,qià	1:跟人联系；商量。～谈|～商|接～|商～|面～。2:和谐；一致。融～|和～。,qià,qià,qià,qià,qià,4,4,4,4,qia,qia,qia,qia,qia
染,rǎn,rǎn,rǎn	1:把纺织品等放在染料里使着色。～色|～坊|印～|漂～。2:感染；沾上。～病|传～|污～|熏～|一尘不～|耳濡目～。,rǎn,rǎn,rǎn,rǎn,rǎn,3,3,3,3,ran,ran,ran,ran,ran
洛,luò,luò,luò 	1:洛河，水名。①发源于陕西，流入河南，是黄河的支流。也叫“南洛河”。②在陕西北部，是渭河的支流。也叫“北洛河”。2:姓。,luò,luò,luò,luò,luò,4,4,4,4,luo,luo,luo,luo,luo
浏,liú,liú,liú	[瀏]	【浏览】 大略地看；泛泛地阅读。～市容|～了一下报纸的标题。,liú,liú,liú,liú,liú,2,2,2,2,liu,liu,liu,liu,liu
济,jì,jì#jǐ,1jǐ	[濟]	1:用于地名。～南（在山东）。2:【济济】 形容人很多。～一堂|人才～。#####2jì	[濟]	1:渡（江河）。同舟共～。2:帮助；救助。～世|救～|接～|周～|扶贫～困。3:对……有益。无～于事|假公～私。4:中用；顶事（用于否定式）。眼神不～|精力不～。,jì#jǐ,jì#jǐ,jì#jǐ,jì#jǐ,jì#jǐ,4#3,4#3,4#3,4#3,ji#ji,ji,ji,ji,ji
洋,yáng,yáng,yáng	1:地球表面上比海更大的水域。海～|大～|远～|太平～。2:外国。西～|东～|南～|留～。3:外国的或外国来的。～人|～车|～服|～楼|～货。4:现代化的（跟“土”相对）。～办法|土～结合。5:丰富；盛大。～溢|～～大观。,yáng,yáng,yáng,yáng,yáng,2,2,2,2,yang,yang,yang,yang,yang
洲,zhōu,zhōu,zhōu	1:江河中由泥沙淤积而成的陆地。沙～|绿～|长江三角～。2:面积广大的陆地及其附近岛屿的总称，地球上有七大洲，即亚洲、欧洲、非洲、北美洲、南美洲、大洋洲和南极洲。,zhōu,zhōu,zhōu,zhōu,zhōu,1,1,1,1,zhou,zhou,zhou,zhou,zhou
浑,hún,hún,hún	[渾]	1:水不清；污浊。～浊|～水摸鱼|河水有点～。2:糊涂；不明事理。～人|～话|～蛋|犯～。3:天然的。～厚|～朴|～金璞玉。4:全；完全。～似|～圆|～身是伤|～然一体。,hún,hún,hún,hún,hún,2,2,2,2,hun,hun,hun,hun,hun
浓,nóng,nóng,nóng	[濃]	1:液体或气体中所含的某种成分多（跟“淡”相对）。～度|～缩|～茶|～烟|香气很～。2:程度深。～茶|～绿|春意～|兴趣正～。3:繁密。～密|～眉大眼。,nóng,nóng,nóng,nóng,nóng,2,2,2,2,nong,nong,nong,nong,nong
津,jīn,jīn,jīn	1:渡口。～渡|～梁|要～|无人问～。2:唾液、汗等人体分泌的液体。～液|生～止渴|遍体生～。3:滋润。～润|～贴。4:（Jīn）天津的简称。～门|京～塘高速公路。,jīn,jīn,jīn,jīn,jīn,1,1,1,1,jin,jin,jin,jin,jin
恃,shì,shì,shì	凭借；依靠。仗～｜自～｜凭～｜～强凌弱｜～才傲物｜有～无恐。,shì,shì,shì,shì,shì,4,4,4,4,shi,shi,shi,shi,shi
恒,héng,héng,héng	1:永久；持久。～久|～心|～温|永～|持之以～|学贵有～。2:经常的；普通的。～量|～态|～言（常用语）|人之～情。,héng,héng,héng,héng,héng,2,2,2,2,heng,heng,heng,heng,heng
恢,huī,huī,huī	广大；宽广。～弘|天网～～，疏而不漏。,huī,huī,huī,huī,huī,1,1,1,1,hui,hui,hui,hui,hui
恍,huǎng,huǎng,huǎng	1:副词。 仿佛。～如梦境|～若隔世。2.1:【恍惚（hū）】 神志不清；精神不集中。精神～。2.2:【恍惚（hū）】 不真切；不清楚。～看见有个人过去。3:【恍然】 猛然醒悟的样子。～大悟。,huǎng,huǎng,huǎng,huǎng,huǎng,3,3,3,3,huang,huang,huang,huang,huang
恬,tián,tián,tián	1:安静；平静。～静|～适|～淡|风～月朗。2:坦然；满不在乎。～然|～不知耻|～不为怪。,tián,tián,tián,tián,tián,2,2,2,2,tian,tian,tian,tian,tian
恤,xù,xù,xù	1:怜悯；同情。怜～|体～。2:救济。～金|抚～|赈～|周～。,xù,xù,xù,xù,xù,4,4,4,4,xu,xu,xu,xu,xu
恰,qià,qià,qià	1:合适；适当。～当|～切。2:副词。 正好。～如其分|～到好处|～逢其时。,qià,qià,qià,qià,qià,4,4,4,4,qia,qia,qia,qia,qia
恼,nǎo,nǎo,nǎo	[惱]	1:愤怒；生气。～火|～怒|气～|～羞成怒。2:烦闷；苦闷。～人|烦～|苦～。,nǎo,nǎo,nǎo,nǎo,nǎo,3,3,3,3,nao,nao,nao,nao,nao
恨,hèn,hèn,hèn	1:仇恨；怨恨（跟“爱”相对）。怀～|嫉～|可～|～之入骨|报仇雪～。2:遗憾；懊悔。～事|悔～|抱～|遗～|一失足成千古～。,hèn,hèn,hèn,hèn,hèn,4,4,4,4,hen,hen,hen,hen,hen
举,jǔ,jǔ,jǔ	[舉]	1:（手）向上托；向上伸。～重|～手|～杯|高～。2:抬起；仰起。～步|～目四望|～头望明月。3:动作；行为。～止|～措|～动|创～|壮～|一～两得。4:兴起；发起。～办|～行|并～|～兵|轻～妄动|百废待～。5:推荐；选拔。～荐|选～|推～|抬～|保～|～贤任能。6:提出。～例|列～|～证|～一反三。7:揭发。～报|检～。8:指举人。中（zhòng）～|武～。9:全；整个。～家|～国上下|～世瞩目。,jǔ,jǔ,jǔ,jǔ,jǔ,3,3,3,3,ju,ju,ju,ju,ju
觉,jué,jué#jiào,1jiào	[覺]	睡眠。睡～|午～|一～醒来天已大亮。#####2jué	[覺]	1:器官对外界刺激的感受和辨别。感～|视～|听～|知～。2:睡醒；省悟。大梦初～|～悟|～醒|自～|先～。3:发现。发～|～察|警～|全然不～。,jué#jiào,jué#jiào,jué#jiào,jué#jiào,jué#jiào,2#4,2#4,2#4,2#4,jue#jiao,jue#jiao,jue#jiao,jue#jiao,jue#jiao
宣,xuān,xuān,xuān	1:传播；公开说出。～布|～扬|～言|～誓|～战|秘而不～。2:疏通；疏导。～泄。3:指宣纸，一种高级书画用纸，因产于宣州（今安徽宣城泾县一带）而得名。生～|玉版～|虎皮～。4:（Xuān）姓。,xuān,xuān,xuān,xuān,xuān,1,1,1,1,xuan,xuan,xuan,xuan,xuan
宦,huàn,huàn,huàn	1:官吏，也指做官。～海|～途|～游|官～|乡～|仕～。2:指宦官，古代阉割后在宫廷内侍奉帝王及其家属的男人。也叫“太监（jiàn）”。3:（Huàn）姓。,huàn,huàn,huàn,huàn,huàn,4,4,4,4,huan,huan,huan,huan,huan
室,shì,shì,shì	1:房间；屋子。～内｜～温｜教～｜浴～｜居～｜卧～｜会议～。2:妻子。妻～｜继～｜家～。3:家；家族。皇～｜王～｜宗～。4:机关、团体、工厂、学校等内部的工作单位。科～｜图书～｜教研～｜会计～｜传达～。5:星宿名，二十八宿之一，属北方玄武。,shì,shì,shì,shì,shì,4,4,4,4,shi,shi,shi,shi,shi
宫,gōng,gōng,gōng	1:帝、后、太子的住所。～殿|～室|～灯|故～|皇～|行～|东～。2:神话中神仙的住所。龙～|天～|月某些庙宇的名称～。3:某些庙宇的名称。雍和～（在北京）|布达拉～（在西藏拉萨）。4:某些文化娱乐场所的名称。少年～|青年～|民族～|文化～。5:中国古代五声音阶的第一音级，相当于简谱的“1”。6:（Gōng）姓。,gōng,gōng,gōng,gōng,gōng,1,1,1,1,gong,gong,gong,gong,gong
宪,xiàn,xiàn,xiàn	[憲]	宪法，国家的根本法，具有最高的法律效力。立～|修～|违～。,xiàn,xiàn,xiàn,xiàn,xiàn,4,4,4,4,xian,xian,xian,xian,xian
突,tū,tū,tū	1:冲；冲撞。～围|～破|～入|冲～|狼奔豕～。2:凸；高。～起|～显|～出。3:副词。 忽然。～如其来|风云～变。4:烟囱。灶～|烟～|曲～徙薪。,tū,tū,tū,tū,tū,1,1,1,1,tu,tu,tu,tu,tu
穿,chuān,chuān,chuān	1:通过（孔隙、空地等）。～针｜～梭｜～糖葫芦｜～越｜横～马路。2:凿、钻或刺使成孔。～孔｜～刺｜～耳朵眼儿。3:用在动词后表示通透或显露。射～｜揭～｜戳～谎言｜看～了他的心思。4:把衣服、鞋袜等套在身上。～衣｜身～军装｜～靴戴帽。,chuān,chuān,chuān,chuān,chuān,1,1,1,1,chuan,chuan,chuan,chuan,chuan
窃,qiè,qiè,qiè	[竊]	1:偷盗。～贼|盗～|偷～|行～|失～。2:比喻不正当、不合法地取得。～取|～位|～名|～国大盗。3:暗中；偷偷地。～听|～笑。,qiè,qiè,qiè,qiè,qiè,4,4,4,4,qie,qie,qie,qie,qie
客,kè,kè,kè	1:被邀请受招待的人；来探访的人（跟“主”相对）。～人|～厅|宾～|会～|贵～|～随主便。2:寄居；旅居。～居|～籍|久～江南。3:商业、服务行业对主顾的称呼。～户|乘～|顾～|旅～|房～。4:从事某种活动（多指奔走各地）的人。政～|说（shuō）～|掮（qiáｎ）～|刺～|侠～。,kè,kè,kè,kè,kè,4,4,4,4,ke,ke,ke,ke,ke
诫,jiè,jiè,jiè	[誡]	警告；劝告。告～|训～|劝～|规～。,jiè,jiè,jiè,jiè,jiè,4,4,4,4,jie,jie,jie,jie,jie
冠,guān,guān#guàn,1guān	1:帽子。～冕|桂～|皇～|免～照片|衣～楚楚|怒发冲～。2:形状像帽子的东西。花～|鸡～|树～。#####2guàn	1:戴帽子。沐猴而～。2:居第一位。～军|名～全国|勇～三军。3:第一名。夺～|三连～。4:在前面加上（某种名号或文字）。～名权|～以优秀教师称号。,guān#guàn,guān#guàn,guān#guàn,guān#guàn,guān#guàn,1#4,1#4,1#4,1#4,guan#guan,guan,guan,guan,guan
诬,wū,wū,wū	[誣]	捏造事实冤枉或陷害别人。～告|～陷|～蔑|～赖|反～|辩～。,wū,wū,wū,wū,wū,1,1,1,1,wu,wu,wu,wu,wu
语,yǔ,yǔ#yù,yǔ	[語]	1:话。～言|汉～|话～|外～|口～|～重心长。2:说。低～|耳～|窃窃私～|胡言乱～。3:代替语言表达意思的动作或信号。手～|哑～|旗～|灯～。,yǔ#yù,yǔ#yù,yǔ#yù,yǔ#yù,yǔ#yù,3#4,3#4,3#4,3#4,yu#yu,yu,yu,yu,yu
扁,biǎn,biǎn#piān,1biǎn	物体宽平而较薄。～平|～圆|～桃|挤～了。#####2piān	【扁舟】 小船。一叶～。,biǎn#piān,biǎn#piān,biǎn#piān,biǎn#piān,biǎn#piān,3#1,3#1,3#1,3#1,bian#pian,bian#pian,bian#pian,bian#pian,bian#pian
袄,ǎo,ǎo,ǎo	[襖]	有里子的中式上衣。棉～|皮～|夹～。,ǎo,ǎo,ǎo,ǎo,ǎo,3,3,3,3,ao,ao,ao,ao,ao
祖,zǔ,zǔ,zǔ	1:父母亲的上一辈。～父|～母|外～父|外～母|～孙三代。2:家族中较早的前辈。～宗|～先|～籍|先～|～传秘方|光宗耀～。3:事业或派别的创始人。佛～|鼻～|～师爷。4:（Zǔ）姓。,zǔ,zǔ,zǔ,zǔ,zǔ,3,3,3,3,zu,zu,zu,zu,zu
神,shén,shén,shén	1:宗教指天地万物的创造者和主宰者；古代神话传说中指神仙或道德、能力高超的人死后的精灵。～灵｜～仙｜山～｜天～｜鬼～。2:不平凡的；极其高超的；不可思议的。～奇｜～速｜～妙｜～效｜～医｜～童｜～枪手。3:精神；注意力。～志｜～往｜凝～｜心～｜全～贯注｜心旷～怡。4:表情；神气。～色｜～情｜眼～｜传～。,shén,shén,shén,shén,shén,2,2,2,2,shen,shen,shen,shen,shen
祝,zhù,zhù,zhù	1:向人表示美好愿望。～愿|～酒|～贺|～福|～寿|庆～。2:（Zhù）姓。,zhù,zhù,zhù,zhù,zhù,4,4,4,4,zhu,zhu,zhu,zhu,zhu
祠,cí,cí,cí	祠堂，祭祀祖先、鬼神或有功德者的建筑。神～｜宗～｜武侯～。,cí,cí,cí,cí,cí,2,2,2,2,ci,ci,ci,ci,ci
